"TIME","PWM","y6"
4.663877856,4.99918,3.71972
4.669436503,4.99922,3.68942
4.680553797,4.99932,3.63108
4.69028143,4.99937,3.58288
4.6986194,4.99942,3.54358
4.709736694,4.99948,3.49449
4.715034779,4.99952,3.47265
4.715555903,4.99952,3.4705
4.720419719,4.99953,3.4512
4.725978366,4.99955,3.43013
4.73709566,4.99959,3.39123
4.759330248,4.99966,3.32681
4.803799424,4.9998,3.25144
4.866177235,4.9999,3.25511
4.868793555,4.9999,3.25804
4.876657875,4.99991,3.26802
4.887143635,4.99992,3.28393
4.908115155,4.99992,3.32383
4.950058195,4.99994,3.42972
4.960543955,4.99995,3.462
4.981515475,4.99995,3.52956
5.023458515,4.99997,3.67449
5.054915795,4.99999,3.78946
5.096858835,4.99999,3.94196
5.115208915,4.99999,4.00747
5.125694675,4.99999,4.04436
5.146666195,4.99999,4.11639
5.188609235,4.99999,4.25186
5.199094995,4.99999,4.28344
5.220066515,5,4.3445
5.262009555,5,4.4563
5.272495315,5,4.48162
5.293466835,5,4.5301
5.335409875,5,4.61702
5.397797692,5,4.72281
5.397807292,5,4.72282
5.399107772,5,4.72471
5.403039932,5,4.73043
5.418768572,5,4.75222
5.439740092,5,4.77893
5.4651875,5,4.80797
5.46518751,0.00997981,4.80797
5.46519773,0.00997879,4.80798
5.46522845,0.00997573,4.80801
5.465639757,0.0099349,4.80845
5.465815713,0.00991744,4.80864
5.467376445,0.00976417,4.81027
5.468842583,0.00962235,4.81181
5.470797433,0.00943643,4.81385
5.473018278,0.00922956,4.81618
5.475637659,0.00899137,4.81879
5.478858831,0.00870684,4.822
5.483093863,0.00834635,4.82621
5.485599319,0.00814075,4.82871
5.488939927,0.00787395,4.83185
5.495621144,0.00736582,4.83813
5.508983576,0.00644373,4.84967
5.512490414,0.00622466,4.85269
5.514243833,0.00611683,4.85421
5.516545195,0.00597802,4.8562
5.516580469,0.00597589,4.85622
5.516586462,0.00597553,4.85623
5.516756324,0.00596541,4.85636
5.517983718,0.00589279,4.85734
5.519386453,0.00581086,4.85846
5.522191923,0.0056504,4.8607
5.527802863,0.00534253,4.86482
5.539024744,0.00477535,4.87306
5.561468506,0.00380961,4.88636
5.567079447,0.0036076,4.88863
5.578301328,0.00322901,4.89318
5.600745089,0.00257947,4.89641
5.603556039,0.00250824,4.89681
5.603577957,0.00250769,4.89681
5.603593025,0.00250731,4.89681
5.603603984,0.00250704,4.89681
5.604283434,0.00249009,4.89677
5.606387537,0.00243835,4.89667
5.609193007,0.00237102,4.89624
5.614803947,0.00224183,4.8954
5.626025828,0.00200383,4.89156
5.64846959,0.00159859,4.87531
5.673187438,0.0012438,4.84213
5.673187447,4.99126,4.84213
5.673193951,4.99126,4.84212
5.673210237,4.99127,4.84209
5.675967966,4.9915,4.83738
5.678747409,4.99174,4.8324
5.685696017,4.99226,4.81885
5.695174352,4.99298,4.79788
5.695202852,4.99299,4.79782
5.69528937,4.99299,4.79761
5.695897374,4.99303,4.79617
5.700761399,4.99334,4.78417
5.707710007,4.99378,4.76562
5.716222052,4.99431,4.74055
5.716949484,4.99435,4.7384
5.721813509,4.99461,4.72292
5.727372396,4.99491,4.70423
5.738490168,4.99542,4.66369
5.747805646,4.99585,4.62626
5.747816503,4.99585,4.62622
5.751182235,4.99599,4.61207
5.751225664,4.99599,4.61189
5.75407025,4.9961,4.59965
5.762408579,4.99641,4.56229
5.773526352,4.99673,4.50925
5.795761897,4.99736,4.39365
5.808616821,4.99773,4.32119
5.810049972,4.99777,4.31296
5.810220973,4.99777,4.31198
5.810225044,4.99777,4.31195
