Record Length,30000,,Source,CH1,CH2
Sample Interval,0.0020000001563,,Second,Volt,Volt
,,,-29.10400250000,0.00,0.03960
,,,-29.10200000000,0.00,0.03960
,,,-29.10000250000,0.00,0.03960
,,,-29.09800250000,0.00,0.03960
,,,-29.09600000000,0.00,0.03960
,,,-29.09400250000,0.00,0.03960
,,,-29.09200000000,0.00,0.03960
,,,-29.09000250000,0.00,0.03960
,,,-29.08800250000,0.00,0.03960
,,,-29.08600000000,0.00,0.03960
,,,-29.08400250000,0.00,0.03960
,,,-29.08200000000,0.04000,0.03960
,,,-29.08000250000,0.00,0.00
,,,-29.07800000000,0.00,0.03960
,,,-29.07600250000,-0.04000,0.03960
,,,-29.07400250000,0.04000,0.07920
,,,-29.07200000000,0.00,0.03960
,,,-29.07000250000,0.00,0.03960
,,,-29.06800000000,0.00,0.03960
,,,-29.06600250000,0.00,0.03960
,,,-29.06400000000,0.00,0.03960
,,,-29.06200250000,0.00,0.03960
,,,-29.06000250000,0.00,0.07920
,,,-29.05800000000,0.00,0.03960
,,,-29.05600250000,0.00,0.07920
,,,-29.05400000000,-0.04000,0.03960
,,,-29.05200250000,0.00,0.03960
,,,-29.05000000000,0.00,0.03960
,,,-29.04800250000,0.00,0.03960
,,,-29.04600250000,0.00,0.03960
,,,-29.04400000000,0.00,0.03960
,,,-29.04200250000,0.04000,0.03960
,,,-29.04000000000,0.00,0.03960
,,,-29.03800250000,-0.04000,0.03960
,,,-29.03600000000,0.00,0.03960
,,,-29.03400250000,0.00,0.03960
,,,-29.03200250000,0.00,0.03960
,,,-29.03000000000,0.00,0.03960
,,,-29.02800250000,0.00,0.03960
,,,-29.02600000000,0.00,0.03960
,,,-29.02400250000,0.00,0.00
,,,-29.02200250000,0.00,0.03960
,,,-29.02000000000,0.00,0.03960
,,,-29.01800250000,0.00,0.03960
,,,-29.01600000000,0.00,0.03960
,,,-29.01400250000,0.00,0.03960
,,,-29.01200000000,0.00,0.03960
,,,-29.01000250000,0.00,0.03960
,,,-29.00800250000,0.00,0.03960
,,,-29.00600000000,0.00,0.03960
,,,-29.00400250000,0.00,0.03960
,,,-29.00200000000,0.00,0.03960
,,,-29.00000250000,0.00,0.03960
,,,-28.99800000000,0.00,0.03960
,,,-28.99600250000,0.00,0.03960
,,,-28.99400250000,-0.04000,0.00
,,,-28.99200000000,0.00,0.00
,,,-28.99000250000,0.00,0.03960
,,,-28.98800000000,-0.04000,0.03960
,,,-28.98600250000,0.00,0.03960
,,,-28.98400000000,-0.04000,0.07920
,,,-28.98200250000,0.00,0.03960
,,,-28.98000250000,0.00,0.03960
,,,-28.97800000000,-0.04000,0.00
,,,-28.97600250000,0.00,0.03960
,,,-28.97400000000,0.00,0.03960
,,,-28.97200250000,0.00,0.03960
,,,-28.97000000000,0.00,0.03960
,,,-28.96800250000,0.00,0.03960
,,,-28.96600250000,0.00,0.03960
,,,-28.96400000000,0.00,0.03960
,,,-28.96200250000,0.00,0.03960
,,,-28.96000000000,0.00,0.00
,,,-28.95800250000,-0.04000,0.03960
,,,-28.95600250000,0.00,0.03960
,,,-28.95400000000,0.00,0.03960
,,,-28.95200250000,0.00,0.03960
